Key,Value,Type
ScoreUIPosition,-0.194|0.163|0,float3
ScoreUIScale,1.19|1.18|1,float3
UIBestScoreTexturePosition,1.03|-0.6|-0.2,float3
UIBestScoreTextureScale,0.995|0.3|1,float3
UIFrame1Position,1.04|-0.9|-0.2,float3
UIFrame1Scale,1.8|0.6|1,float3
UIFrame2Position,1.04|0.4|-0.2,float3
UIFrame2Scale,2.319|1.52|1,float3
UISelectStageTexturePosition,-1.412|1.026|-0.2,float3
UISelectStageTextureScale,1.936|0.6|1,float3
UIStageMapPhotoPosition,1.04|0.4|-0.19,float3
UIStageMapPhotoScale,1.8|1.01|1,float3
UIStageNameDownPosition,-1.166|-0.5|-0.2,float3
UIStageNameMiddlePosition,-1.4|0|-0.2,float3
UIStageNameMiddleScale,1.5|0.392|1,float3
UIStageNameUpDownScale,1|0.233|1,float3
UIStageNameUpPosition,-1.166|0.5|-0.2,float3
