Key,Value,Type
CameraEye,108.911|-0.421|-3.986,float3
CameraMaxAdjustFocus,5.647|1.579|0,float3
ItemFxGravityScale,1.195,float
ItemFxMaxAlpha,0.5,float
ItemFxMaxLifeTime,2.416,float
ItemFxMaxParticleNum,1621,int
ItemFxMaxSpeed,16.471,float
ItemFxMinLifeTime,2.416,float
ItemFxMinSpeed,9.283,float
ItemFxParticleSize,0.053,float
PlayerLimitPosX,155.518,float
PlayerMaxMotionBlurAlphaValue,0.589,float
PlayerMotionBlurImprintNum,64,int
PlayerScaleValue,0.1,float
PlayerSpeed,0.347,float
SceneFadeSpeed,1.463,float
UIPressEnterKeyTexturePosition,1.3|-1.072|0,float3
UIPressEnterKeyTextureScale,1.937|0.452|1,float3
UITitleTexturePosition,-0.935|0.776|0,float3
UITitleTextureScale,2.719|0.872|1,float3
